Zip Code,MLS #,Cat,Status,Address,City,County,Beds,Structure Type,Status Contractual Search Date,List Office Name,Current Price
20020,DCDC420104,RES,CLS,3577 Texas Ave SE,Washington,"Washington, DC",3,Detached,5/8/19,Fairfax Realty Elite (FXR4),"$699,900 "
20020,DCDC419782,RES,CLS,1940 Savannah Pl SE,Washington,"Washington, DC",3,Twin/Semi-Detached,5/17/19,Taylor Properties (TAYL1),"$240,000 "
20020,DCDC404668,RES,CLS,1545 41st St SE,Washington,"Washington, DC",3,Twin/Semi-Detached,6/27/19,RLAH Real Estate (RLAH2),"$381,900 "
20020,DCDC418160,RES,CLS,1801 Erie St SE,Washington,"Washington, DC",3,End of Row/Townhouse,5/17/19,McWilliams/Ballard Inc. (MCWB1),"$386,000 "
20020,DCDC409668,RES,CLS,1834 41st Pl SE,Washington,"Washington, DC",4,Detached,4/30/19,Fairfax Realty Premier (FXR3),"$530,000 "
20020,DCDC413678,RES,CLS,1437 Ridge Pl SE,Washington,"Washington, DC",3,Row/Townhouse,5/28/19,Harbor Realty & Investments LLC (HRIV1),"$380,000 "
20020,DCDC403914,RES,CLS,3070 30th St SE #101,Washington,"Washington, DC",1,Unit/Flat/Apartment,6/7/19,"Northern Virginia Real Estate Network, Inc (NVRE1)","$37,500 "
20020,DCDC403002,RES,CLS,2217 14th St SE,Washington,"Washington, DC",3,Twin/Semi-Detached,6/28/19,RLAH Real Estate (RLAH1),"$547,000 "
20020,DCDC403634,RES,CLS,1833 Frederick Douglass Pl SE,Washington,"Washington, DC",3,End of Row/Townhouse,6/7/19,Bennett Realty Solutions (EXBR1),"$300,000 "
20020,DCDC402956,RES,CLS,2941 W St SE,Washington,"Washington, DC",4,Detached,5/21/19,Compass (COMPS3),"$675,000 "
20020,DCDC403282,RES,CLS,1459 Morris Rd SE,Washington,"Washington, DC",2,Row/Townhouse,4/12/19,"Grateful Real Estate, Inc. (MCHE1)","$245,000 "
20020,DCDC402816,RES,CLS,2243-2245 SE Chester St SE,Washington,"Washington, DC",3,Unit/Flat/Apartment,5/15/19,Taylor Properties (TAYL12),"$369,000 "
20020,DCDC403136,RES,CLS,1921 Alabama Ave SE,Washington,"Washington, DC",2,Twin/Semi-Detached,4/24/19,Atlas Realty LLC. (ATAL1),"$216,000 "
20020,DCDC402994,RES,CLS,2517 Branch Ave SE,Washington,"Washington, DC",4,Detached,6/21/19,Fairfax Realty Elite (FXR4),"$399,500 "
20020,DCDC402800,RES,CLS,2426 18th St SE,Washington,"Washington, DC",3,Twin/Semi-Detached,4/17/19,Tristar Realty INC (TSTA2),"$386,000 "
20020,DCDC402668,RES,CLS,2123 Suitland Ter SE #B,Washington,"Washington, DC",2,End of Row/Townhouse,3/27/19,RE/MAX Professionals (RMXP4),"$185,000 "
20020,DCDC402540,RES,CLS,1536 Fort Davis St SE,Washington,"Washington, DC",4,End of Row/Townhouse,4/15/19,Berkshire Hathaway HomeServices PenFed Realty (PFED4),"$510,000 "
20020,DCDC402284,RES,CLS,2103 Suitland Ter SE #202,Washington,"Washington, DC",2,Other,4/5/19,Keller Williams Realty (KWR8),"$139,500 "
20020,DCDC402382,RES,CLS,3528 Highwood Dr SE,Washington,"Washington, DC",6,Detached,4/12/19,"The Washington Realtors, LLC (TWRL1)","$608,000 "
